url	first_seen	portal	title	company	status	location
https://in.linkedin.com/jobs/view/forward-deployed-engineer-at-stealth-indian-startup-4427430165	2026-06-16	apify-linkedin	Forward Deployed Engineer	Stealth Indian Startup	added	Greater Hyderabad Area
https://in.linkedin.com/jobs/view/cloud-ai-engineer-at-capgemini-4428894279	2026-06-16	apify-linkedin	Cloud AI Engineer	Capgemini	added	Sion, Maharashtra, India
https://in.linkedin.com/jobs/view/ai-engineer-%E2%80%93-generative-ai-gcp-at-ust-4414008527	2026-06-16	apify-linkedin	AI Engineer – Generative AI & GCP	UST	added	Trivandrum, Kerala, India
https://in.linkedin.com/jobs/view/ai-engineers-3-8-years-at-orion-innovation-4416170559	2026-06-16	apify-linkedin	AI Engineers (3-8 years)	Orion Innovation	added	Hyderabad, Telangana, India
https://in.linkedin.com/jobs/view/gen-ai-engineer-at-cognizant-4427752787	2026-06-16	apify-linkedin	Gen AI Engineer	Cognizant	added	Chennai, Tamil Nadu, India
https://in.linkedin.com/jobs/view/ai-ml-engineer-at-d4-insight-4427556914	2026-06-16	apify-linkedin	AI/ML Engineer	D4 Insight	added	Greater Hyderabad Area
https://in.linkedin.com/jobs/view/gen-ai-llm-backend-developer-5%E2%80%938-yrs-at-aimleap-4427476220	2026-06-16	apify-linkedin	Gen AI / LLM Backend Developer ( 5–8 yrs )	AIMLEAP	added	Gandhinagar, Gujarat, India
https://in.linkedin.com/jobs/view/machine-learning-engineer-at-morningstar-4426089203	2026-06-16	apify-linkedin	Machine Learning Engineer	Morningstar	added	Mumbai Metropolitan Region
https://in.linkedin.com/jobs/view/ai-nlp-engineer-at-boomerangfx-4427626563	2026-06-16	apify-linkedin	AI / NLP Engineer	BoomerangFX	added	Chennai, Tamil Nadu, India
https://in.linkedin.com/jobs/view/software-engineer-aiml-at-kaleris-4397627237	2026-06-16	apify-linkedin	Software Engineer - AIML	Kaleris	added	Chennai, Tamil Nadu, India
https://in.linkedin.com/jobs/view/software-engineer-ii-ai-and-ml-at-zinnia-4405003842	2026-06-16	apify-linkedin	Software Engineer II- AI and ML	Zinnia	added	Noida, Uttar Pradesh, India
https://in.linkedin.com/jobs/view/ai-ml-engineer-irc282993-at-globallogic-4415913681	2026-06-16	apify-linkedin	AI-ML Engineer IRC282993	GlobalLogic	added	Chennai, Tamil Nadu, India
https://in.linkedin.com/jobs/view/ai-engineer-at-blend-4428697913	2026-06-16	apify-linkedin	AI Engineer	Blend	added	Hyderabad, Telangana, India
https://in.linkedin.com/jobs/view/data-science-ai-ml-statistics-or-at-radix-analytics-pvt-ltd-4426046241	2026-06-16	apify-linkedin	Data Science: AI/ML / Statistics / OR	Radix Analytics Pvt Ltd	added	Ahmedabad, Gujarat, India
https://in.linkedin.com/jobs/view/generative-ai-engineer-at-zensar-technologies-4426241625	2026-06-16	apify-linkedin	Generative AI Engineer	Zensar Technologies	added	Hyderabad, Telangana, India
https://in.linkedin.com/jobs/view/gen-ai-engineer-at-cgi-4429136068	2026-06-16	apify-linkedin	Gen AI Engineer	CGI	added	Chennai, Tamil Nadu, India
